url,title
https://trends.ajio.com/612-league-dot-print-shirt-with-patch-pocket/p/441065311_red,Dot Print Shirt with Patch Pocket612 LEAGUE
https://ajiobusiness.com/storefront/ProductDetails/464897428,Cotton Self-design ShirtDJâ€™S
https://ajiobusiness.com/storefront/ProductDetails/464654200,Cotton Printed Casual ShirtsBOTTOM BRICK
https://ajiobusiness.com/storefront/ProductDetails/464689807,Cotton Printed Casual ShirtsGREY GUYS
https://ajiobusiness.com/storefront/ProductDetails/464924229,Cotton Checks ShirtFOLLOW-14
https://trends.ajio.com/lee-cooper-geometric-print-shirt-with-patch-pocket/p/441245838_red,Geometric Print Shirt with Patch PocketLEE COOPER
https://ajiobusiness.com/storefront/ProductDetails/464754696,Cotton Checks ShirtPAUL STREET
https://ajiobusiness.com/storefront/ProductDetails/464675787,Satin Solid Casual ShirtsNEVERDOWN
https://ajiobusiness.com/storefront/ProductDetails/464712502,Twill Checks Casual ShirtsVINTAGE ERA
https://trends.ajio.com/kb-team-spirit-cotton-shirt-with-patch-pocket/p/441110212_green,Cotton Shirt with Patch PocketKB TEAM SPIRIT
https://ajiobusiness.com/storefront/ProductDetails/464967178,Twill Printed Casual ShirtsGOOGLY 4
https://ajiobusiness.com/storefront/ProductDetails/464889899,Cotton Checks Casual ShirtsHIGHSHINE
https://ajiobusiness.com/storefront/ProductDetails/464705885,Cotton stretch Printed Casual ShirtsROYAL JACK FASHION LAB
https://ajiobusiness.com/storefront/ProductDetails/464819947,Cotton Printed Casual ShirtsNEVERDOWN
https://trends.ajio.com/lee-cooper-slim-fit-shirt-with-patch-pocket/p/441181007_red,Slim Fit Shirt with Patch PocketLEE COOPER
https://ajiobusiness.com/storefront/ProductDetails/464945603,Cotton Rich Printed Casual ShirtsSHEVRON
https://ajiobusiness.com/storefront/ProductDetails/464584287,Cotton Checks ShirtNOTTYTOUCH
https://ajiobusiness.com/storefront/ProductDetails/464687664,Cotton Printed Casual ShirtsROYAL JACK FASHION LAB
https://ajiobusiness.com/storefront/ProductDetails/464684563,Cotton Solid Casual ShirtsOCTOPLUS
https://ajiobusiness.com/storefront/ProductDetails/464737000,Cotton Checks Casual ShirtsGS
https://www.flipkart.com/park-avenue-solid-men-polo-neck-purple-t-shirt/p/itm9f71d27001630?pid=TSHGMS8R5AJDQAYR&lid=LSTTSHGMS8R5AJDQAYRIUUEKE&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_21_810&otracker=browse&fm=organic&iid=85808e19-15b0-4ada-b6a5-0065218c0f14.TSHGMS8R5AJDQAYR.SEARCH&ppt=None&ppn=None&ssid=hj5hihoan40000001684591928051,Men Solid Polo Neck Purple T-ShirtPARK AVENUE
https://www.flipkart.com/allen-solly-anti-bacterial-men-solid-casual-pink-shirt/p/itmcfa6607f2e0e1?pid=SHTFUTT8SJATGFHN&lid=LSTSHTFUTT8SJATGFHN48WGJW&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_25_965&otracker=browse&fm=organic&iid=6afbd133-54a1-453b-8948-58be62db2977.SHTFUTT8SJATGFHN.SEARCH&ppt=None&ppn=None&ssid=i0hrltvsg00000001684591962806,Anti-Bacterial Men Slim Fit Solid Cut Away Collar Casua...Allen Solly
https://www.flipkart.com/moordale-solid-men-polo-neck-dark-green-t-shirt/p/itmaf094b0928637?pid=TSHG9G26YGMZEWUR&lid=LSTTSHG9G26YGMZEWURLA15EM&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_238&otracker=browse&fm=organic&iid=en_AOGcdKR7uFU9ghtsghoOuM2r1qgwz0%2FfIj6xTdriBmHN9wE%2BEW0wihrsh1M94yPjKfWpDdjnIezEaEtE464Dlw%3D%3D&ppt=None&ppn=None&ssid=vekf99aoog0000001684591831866,Men Solid Polo Neck Dark Green T-ShirtMoordale
https://ajiobusiness.com/storefront/ProductDetails/464757692,Cotton Camouflage Casual ShirtsSHIRTZONE
https://trends.ajio.com/612-league-ditsy-print-shirt-with-patch-pocket/p/440969983_navy,Ditsy Print Shirt with Patch Pocket612 LEAGUE
https://www.flipkart.com/sdk-self-design-men-high-neck-white-t-shirt/p/itm2020614a22bc4?pid=TSHGAJ6ZSYPVQPXD&lid=LSTTSHGAJ6ZSYPVQPXDSEVS2B&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_19_757&otracker=browse&fm=organic&iid=en_TCasvvSg%2B8UgoUUPBMqXzemWzngzmbS8XzWsGkBX2pEv%2B2e1vo2rhFjt1thtfKJQh9zSDEhEpUdhPJIVWq1fjw%3D%3D&ppt=None&ppn=None&ssid=sc20i6rxps0000001684591911949,Men Self Design High Neck White T-ShirtSDK
https://ajiobusiness.com/storefront/ProductDetails/464572939,Cotton Checks ShirtNOTTYTOUCH
